LSOA_Code,LSOA_Name
E01000756,Bromley 033D
E01000757,Bromley 031D
E01000758,Bromley 031E
E01000759,Bromley 034A
E01000760,Bromley 034B
E01000761,Bromley 034C
E01000762,Bromley 018D
E01000763,Bromley 027A
E01000764,Bromley 027B
E01000765,Bromley 034D
E01000766,Bromley 027C
E01000767,Bromley 027D
E01000768,Bromley 034E
E01000769,Bromley 024A
E01000770,Bromley 012D
E01000771,Bromley 041C
E01000772,Bromley 012E
E01000773,Bromley 024B
E01000774,Bromley 041D
E01000775,Bromley 024C
E01000777,Bromley 024D
E01000778,Bromley 024E
E01000779,Bromley 001A
E01000780,Bromley 001B
E01000781,Bromley 001C
E01000782,Bromley 001D
E01000783,Bromley 001E
E01000784,Bromley 002E
E01000785,Bromley 001F
E01000786,Bromley 032A
E01000787,Bromley 029C
E01000788,Bromley 029D
E01000789,Bromley 032B
E01000790,Bromley 028C
E01000791,Bromley 029E
E01000792,Bromley 032C
E01000793,Bromley 032D
E01000794,Bromley 035E
E01000795,Bromley 032E
E01000796,Bromley 009C
E01000797,Bromley 013E
E01000798,Bromley 009D
E01000799,Bromley 004A
E01000800,Bromley 009E
E01000801,Bromley 015E
E01000802,Bromley 004B
E01000803,Bromley 004C
E01000804,Bromley 004D
E01000805,Bromley 004E
E01000806,Bromley 009F
E01000807,Bromley 022C
E01000808,Bromley 025A
E01000809,Bromley 022D
E01000810,Bromley 025B
E01000811,Bromley 025C
E01000812,Bromley 028D
E01000813,Bromley 025D
E01000814,Bromley 028E
E01000815,Bromley 025E
E01000816,Bromley 040A
E01000818,Bromley 040B
E01000819,Bromley 040C
E01000820,Bromley 008C
E01000822,Bromley 008D
E01000823,Bromley 008E
E01000824,Bromley 008F
E01000825,Bromley 008G
E01000826,Bromley 021A
E01000827,Bromley 021B
E01000828,Bromley 011E
E01000829,Bromley 018E
E01000830,Bromley 021C
E01000831,Bromley 021D
E01000832,Bromley 030A
E01000833,Bromley 021E
E01000834,Bromley 027E
E01000835,Bromley 030B
E01000836,Bromley 030C
E01000837,Bromley 030D
E01000838,Bromley 030E
E01000839,Bromley 030F
E01000840,Bromley 030G
E01000841,Bromley 030H
E01000842,Camden 011A
E01000843,Camden 014A
E01000844,Camden 011B
E01000845,Camden 014B
E01000846,Camden 014C
E01000847,Camden 014D
E01000848,Camden 011C
E01000849,Camden 011D
E01000850,Camden 026A
E01000851,Camden 026B
E01000852,Camden 026C
E01000853,Camden 025A
E01000854,Camden 026D
E01000855,Camden 028A
E01000856,Camden 019A
E01000857,Camden 018A
E01000858,Camden 018B
E01000859,Camden 018C
E01000860,Camden 018D
E01000861,Camden 019B
E01000862,Camden 018E
E01000863,Camden 021A
E01000864,Camden 015A
E01000865,Camden 015B
E01000866,Camden 009A
E01000867,Camden 015C
E01000868,Camden 015D
E01000869,Camden 015E
E01000870,Camden 009B
E01000871,Camden 005A
E01000872,Camden 005B
E01000873,Camden 005C
E01000874,Camden 005D
E01000875,Camden 013A
E01000876,Camden 013B
E01000877,Camden 005E
E01000878,Camden 004A
E01000879,Camden 004B
E01000880,Camden 004C
E01000881,Camden 008A
E01000882,Camden 008B
E01000883,Camden 008C
E01000884,Camden 004D
E01000885,Camden 004E
E01000886,Camden 006A
E01000887,Camden 006B
E01000888,Camden 006C
E01000889,Camden 007A
E01000890,Camden 007B
E01000891,Camden 007C
E01000892,Camden 006D
E01000893,Camden 002A
E01000894,Camden 002B
E01000895,Camden 002C
E01000896,Camden 002D
E01000897,Camden 008D
E01000898,Camden 008E
E01000899,Camden 002E
E01000900,Camden 012A
E01000901,Camden 007D
E01000902,Camden 012B
E01000903,Camden 006E
E01000904,Camden 012C
E01000905,Camden 012D
E01000906,Camden 012E
E01000907,Camden 001A
E01000908,Camden 001B
E01000909,Camden 001C
E01000910,Camden 003A
E01000911,Camden 003B
E01000912,Camden 001D
E01000913,Camden 001E
